#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A7F99C
#Date Time: 2024-05-28 12:36:30.803
#Sample rate: 111359Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 49.42 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 10 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-0.03864093289918193,-0.001574732831603434
-0.03863195289918192,-0.001913930272448252
-0.03862297289918192,-0.001574732831603434
-0.03861399289918192,-0.001574732831603434
-0.03860501289918192,-0.001913930272448407
-0.03859603289918193,-0.001913930272448407
-0.03858705289918192,-0.00123553539075877
-0.03857807289918192,-0.001913930272448407
-0.03856909289918192,-0.001913930272448407
-0.03856011289918192,-0.001574732831603434
-0.03855113289918193,-0.001574732831603434
-0.03854215289918193,-0.001913930272448252
-0.03853317289918192,-0.001574732831603434
-0.03852419289918192,-0.001574732831603434
-0.03851521289918192,-0.001913930272448407
-0.03850623289918192,-0.001574732831603434
-0.03849725289918193,-0.001574732831603434
-0.03848827289918192,-0.001913930272448252
-0.03847929289918192,-0.001574732831603434
-0.03847031289918192,-0.001913930272448407
-0.03846133289918192,-0.001913930272448407
-0.03845235289918193,-0.001574732831603588
-0.03844337289918193,-0.001913930272448252
-0.03843439289918192,-0.001574732831603434
-0.03842541289918192,-0.001574732831603434
-0.03841643289918192,-0.001913930272448407
-0.03840745289918193,-0.001574732831603434
-0.03839847289918193,-0.001913930272448252
-0.03838949289918192,-0.001574732831603434
-0.03838051289918192,-0.001574732831603434
-0.03837153289918192,-0.001913930272448407
-0.03836255289918192,-0.001574732831603434
-0.03835357289918193,-0.001574732831603434
-0.03834459289918192,-0.001913930272448407
-0.03833561289918192,-0.001913930272448407
-0.03832663289918192,-0.001574732831603434
-0.03831765289918192,-0.001574732831603434
-0.03830867289918193,-0.001574732831603434
-0.03829969289918193,-0.001574732831603434
-0.03829071289918192,-0.001574732831603588
-0.03828173289918192,-0.001913930272448407
-0.03827275289918192,-0.001913930272448407
-0.03826377289918192,-0.001574732831603434
-0.03825479289918193,-0.001574732831603434
-0.03824581289918192,-0.001574732831603434
-0.03823683289918192,-0.001574732831603434
-0.03822785289918192,-0.001913930272448407
-0.03821887289918192,-0.001574732831603434
-0.03820989289918193,-0.001574732831603434
-0.03820091289918193,-0.001574732831603434
-0.03819193289918192,-0.001574732831603588
-0.03818295289918192,-0.001913930272448407
-0.03817397289918192,-0.001913930272448407
