#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A7F99C
#Date Time: 2024-05-28 11:32:48.591
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 6.6 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-4.096e-05,0.007244400630365849
-4.095e-05,0.006566005748675904
-4.094e-05,0.009957980157124702
-4.093e-05,0.00792279551205672
-4.092e-05,0.009957980157125628
-4.091e-05,0.006226808307830931
-4.09e-05,0.007583598071210821
-4.089e-05,0.006905203189521185
-4.088e-05,0.006905203189520876
-4.087e-05,0.008601190393745739
-4.086e-05,0.007922795512055793
-4.085e-05,0.007583598071210821
-4.084e-05,0.007583598071210821
-4.083e-05,0.007583598071210821
-4.082e-05,0.006566005748675904
-4.081e-05,0.00792279551205533
-4.08e-05,0.006905203189521338
-4.079e-05,0.006566005748675904
-4.078e-05,0.007583598071210821
-4.077e-05,0.005548413426141758
-4.076e-05,0.007244400630365078
-4.075e-05,0.007583598071210821
-4.074e-05,0.006905203189520876
-4.073e-05,0.008601190393745739
-4.072e-05,0.007922795512056102
-4.071e-05,0.004191623662761097
-4.07e-05,0.006226808307830931
-4.069e-05,0.007922795512055793
-4.068e-05,0.008601190393745585
-4.067e-05,0.008261992952900766
-4.066e-05,0.006226808307830931
-4.065e-05,0.008601190393745739
-4.064e-05,0.009618782716278805
-4.063e-05,0.005548413426142837
-4.062e-05,0.005887610866985959
-4.061e-05,0.008601190393745739
-4.06e-05,0.00690520318952211
-4.059e-05,0.009618782716279422
-4.058e-05,0.007244400630365849
-4.057e-05,0.008261992952900766
-4.056e-05,0.009957980157125628
-4.055e-05,0.00961878271628081
-4.054e-05,0.006905203189520876
-4.053e-05,0.008261992952900766
-4.052e-05,0.007922795512055793
-4.051e-05,0.008940387834589938
-4.05e-05,0.007244400630365849
-4.049e-05,0.008601190393745739
-4.048e-05,0.008261992952900766
-4.047e-05,0.006566005748676521
-4.046e-05,0.007922795512055793
-4.045e-05,0.007922795512055793
-4.044e-05,0.00894038783459071
-4.043e-05,0.007583598071210821
-4.042e-05,0.007583598071210821
-4.041e-05,0.007244400630365849
-4.04e-05,0.007922795512055793
-4.039e-05,0.007922795512055793
-4.038e-05,0.005548413426142066
-4.037e-05,0.008261992952900766
-4.036e-05,0.007244400630365849
-4.035e-05,0.007244400630365849
-4.034e-05,0.007583598071210512
-4.033e-05,0.006905203189520876
-4.032e-05,0.007583598071210821
-4.031e-05,0.008601190393745739
-4.03e-05,0.007583598071210357
-4.029e-05,0.006566005748675904
-4.028e-05,0.00894038783459071
-4.027e-05,0.005887610866985959
-4.026e-05,0.008601190393745121
-4.025e-05,0.007244400630366465
-4.024e-05,0.007922795512055793
-4.023e-05,0.00894038783459071
-4.022e-05,0.007922795512055793
-4.021e-05,0.007922795512055793
-4.02e-05,0.008261992952900766
-4.019e-05,0.007244400630365849
-4.018e-05,0.009279585275435683
-4.017e-05,0.007583598071211592
-4.016e-05,0.008261992952900766
-4.015e-05,0.006905203189520876
-4.014e-05,0.006905203189520876
-4.013e-05,0.006905203189520876
-4.012e-05,0.006905203189520876
-4.011e-05,0.006905203189520876
-4.01e-05,0.005887610866985959
-4.009e-05,0.005548413426141758
-4.008e-05,0.007244400630365078
-4.007e-05,0.006905203189520876
-4.006e-05,0.004870018544451042
-4.005e-05,0.007583598071211129
-4.004e-05,0.008261992952900457
-4.003e-05,0.006226808307830931
-4.002e-05,0.006226808307830931
-4.001e-05,0.004530821103606069
-4e-05,0.007244400630364614
-3.999e-05,0.004870018544451042
-3.998e-05,0.009618782716280656
-3.997e-05,0.005887610866985959
-3.996e-05,0.004530821103607766
-3.995e-05,0.008261992952900766
-3.994e-05,0.006566005748675904
-3.993e-05,0.008601190393745739
-3.992e-05,0.004191623662762177
-3.991e-05,0.006566005748674824
-3.99e-05,0.005887610866985959
-3.989e-05,0.007244400630365849
-3.988e-05,0.005887610866986114
-3.987e-05,0.006226808307830777
-3.986e-05,0.007583598071210821
-3.985e-05,0.005548413426140987
-3.984e-05,0.006566005748675904
-3.983e-05,0.00724440063036554
-3.982e-05,0.007244400630365849
-3.981e-05,0.006226808307830931
-3.98e-05,0.004530821103606069
-3.979e-05,0.006905203189520259
-3.978e-05,0.005548413426140987
-3.977e-05,0.007244400630365849
-3.976e-05,0.004530821103606069
-3.975e-05,0.007244400630365849
-3.974e-05,0.007244400630365849
-3.973e-05,0.008261992952900766
-3.972e-05,0.006226808307830931
-3.971e-05,0.006566005748676058
-3.97e-05,0.006905203189520722
-3.969e-05,0.006566005748675904
-3.968e-05,0.007583598071210821
-3.967e-05,0.006226808307830931
-3.966e-05,0.00656600574867575
-3.965e-05,0.007583598071210821
-3.964e-05,0.006226808307830931
-3.963e-05,0.006905203189520876
-3.962e-05,0.005887610866986885
-3.961e-05,0.007922795512055793
-3.96e-05,0.006226808307830931
-3.959e-05,0.005548413426140987
-3.958e-05,0.005887610866986268
-3.957e-05,0.006566005748675595
-3.956e-05,0.005209215985296014
-3.955e-05,0.005209215985296014
-3.954e-05,0.00520921598529663
-3.953e-05,0.006566005748675287
-3.952e-05,0.006226808307830931
-3.951e-05,0.005548413426140987
-3.95e-05,0.006226808307830931
-3.949e-05,0.006226808307830931
-3.948e-05,0.008601190393745739
-3.947e-05,0.005887610866985959
-3.946e-05,0.005548413426140987
-3.945e-05,0.006905203189520567
